Read, קרא
apps/frappe/frappe/core/doctype/data_import_beta/data_import_beta.js, [MISSING_TRANSLATION]
DocType: Assignment Rule, [MISSING_TRANSLATION]
apps/frappe/frappe/desk/form/assign_to.py, [MISSING_TRANSLATION]
apps/frappe/frappe/public/js/frappe/ui/toolbar/toolbar.js, [MISSING_TRANSLATION]
apps/frappe/frappe/public/js/frappe/form/controls/attach.js, [MISSING_TRANSLATION]
DocType: Email Queue, [MISSING_TRANSLATION]
DocType: Post, [MISSING_TRANSLATION]
DocType: Address, [MISSING_TRANSLATION]
apps/frappe/frappe/config/settings.py, [MISSING_TRANSLATION]
DocType: Workflow State, [MISSING_TRANSLATION]
apps/frappe/frappe/public/js/frappe/web_form/webform_script.js, [MISSING_TRANSLATION]
DocType: About Us Settings, [MISSING_TRANSLATION]
apps/frappe/frappe/www/third_party_apps.py, [MISSING_TRANSLATION]
DocType: System Settings, [MISSING_TRANSLATION]
DocType: DocType, [MISSING_TRANSLATION]
apps/frappe/frappe/templates/emails/download_data.html, [MISSING_TRANSLATION]
apps/frappe/frappe/public/js/frappe/form/form.js, [MISSING_TRANSLATION]
apps/frappe/frappe/desk/page/backups/backups.js, [MISSING_TRANSLATION]
DocType: Workflow, [MISSING_TRANSLATION]
apps/frappe/frappe/client.py, [MISSING_TRANSLATION]
apps/frappe/frappe/utils/file_manager.py, [MISSING_TRANSLATION]
apps/frappe/frappe/public/js/frappe/views/treeview.js, [MISSING_TRANSLATION]
DocType: User, [MISSING_TRANSLATION]
apps/frappe/frappe/public/js/frappe/views/file/file_view.js, [MISSING_TRANSLATION]
apps/frappe/frappe/model/base_document.py, [MISSING_TRANSLATION]
DocType: DocField, [MISSING_TRANSLATION]
DocType: GSuite Settings, [MISSING_TRANSLATION]
apps/frappe/frappe/desk/doctype/event/event.py, [MISSING_TRANSLATION]
DocType: Data Import, [MISSING_TRANSLATION]
DocType: Contact, [MISSING_TRANSLATION]
DocType: Print Format, [MISSING_TRANSLATION]
DocType: GCalendar Account, [MISSING_TRANSLATION]
DocType: Report, [MISSING_TRANSLATION]
apps/frappe/frappe/public/js/frappe/views/pageview.js, [MISSING_TRANSLATION]
DocType: Data Migration Run, [MISSING_TRANSLATION]
apps/frappe/frappe/public/js/frappe/views/kanban/kanban_view.js, [MISSING_TRANSLATION]
DocType: Custom DocPerm, [MISSING_TRANSLATION]
apps/frappe/frappe/public/js/frappe/model/model.js, [MISSING_TRANSLATION]
DocType: Data Import Beta, [MISSING_TRANSLATION]
apps/frappe/frappe/model/document.py, [MISSING_TRANSLATION]
DocType: SMS Parameter, [MISSING_TRANSLATION]
apps/frappe/frappe/public/js/frappe/list/list_sidebar.html, [MISSING_TRANSLATION]
DocType: Activity Log, [MISSING_TRANSLATION]
DocType: Currency, [MISSING_TRANSLATION]
DocType: Social Login Key, [MISSING_TRANSLATION]
apps/frappe/frappe/core/doctype/data_export/exporter.py, [MISSING_TRANSLATION]
apps/frappe/frappe/core/doctype/doctype/doctype.py, [MISSING_TRANSLATION]
apps/frappe/frappe/public/js/frappe/utils/pretty_date.js, [MISSING_TRANSLATION]
apps/frappe/frappe/email/doctype/email_account/email_account.py, [MISSING_TRANSLATION]
DocType: Test Runner, [MISSING_TRANSLATION]
DocType: Auto Repeat, [MISSING_TRANSLATION]
DocType: Email Account, [MISSING_TRANSLATION]
apps/frappe/frappe/core/doctype/version/version_view.html, [MISSING_TRANSLATION]
DocType: Communication, [MISSING_TRANSLATION]
apps/frappe/frappe/public/js/frappe/utils/tools.js, [MISSING_TRANSLATION]
apps/frappe/frappe/public/js/frappe/social/components/Post.vue, [MISSING_TRANSLATION]
apps/frappe/frappe/public/js/frappe/list/list_view.js, [MISSING_TRANSLATION]
DocType: GCalendar Settings, [MISSING_TRANSLATION]
DocType: Email Group, [MISSING_TRANSLATION]
apps/frappe/frappe/integrations/doctype/google_calendar/google_calendar.py, [MISSING_TRANSLATION]
DocType: Event, [MISSING_TRANSLATION]
DocType: Note, [MISSING_TRANSLATION]
apps/frappe/frappe/public/js/frappe/form/grid.js, [MISSING_TRANSLATION]
apps/frappe/frappe/social/doctype/energy_point_log/energy_point_log.py, [MISSING_TRANSLATION]
apps/frappe/frappe/core/doctype/user/user.py, [MISSING_TRANSLATION]
DocType: Energy Point Log, [MISSING_TRANSLATION]
DocType: Success Action, [MISSING_TRANSLATION]
apps/frappe/frappe/public/js/frappe/ui/filters/filters.js, [MISSING_TRANSLATION]
apps/frappe/frappe/config/customization.py, [MISSING_TRANSLATION]
apps/frappe/frappe/public/js/frappe/form/sidebar/review.js, [MISSING_TRANSLATION]
apps/frappe/frappe/config/website.py, [MISSING_TRANSLATION]
DocType: Contact Us Settings, [MISSING_TRANSLATION]
apps/frappe/frappe/public/js/frappe/ui/tag_editor.js, [MISSING_TRANSLATION]
apps/frappe/frappe/public/js/frappe/form/print.js, [MISSING_TRANSLATION]
apps/frappe/frappe/core/doctype/data_import_beta/data_import_beta_list.js, [MISSING_TRANSLATION]
apps/frappe/frappe/integrations/doctype/google_drive/google_drive.py, [MISSING_TRANSLATION]
apps/frappe/frappe/public/js/frappe/form/link_selector.js, [MISSING_TRANSLATION]
apps/frappe/frappe/integrations/doctype/social_login_key/social_login_key.py, [MISSING_TRANSLATION]
DocType: Has Role, [MISSING_TRANSLATION]
DocType: Dashboard Chart, [MISSING_TRANSLATION]
apps/frappe/frappe/public/js/frappe/file_uploader/FileUploader.vue, [MISSING_TRANSLATION]
DocType: Deleted Document, [MISSING_TRANSLATION]
apps/frappe/frappe/core/page/permission_manager/permission_manager_help.html, [MISSING_TRANSLATION]
apps/frappe/frappe/website/doctype/website_theme/website_theme.js, [MISSING_TRANSLATION]
DocType: Company History, [MISSING_TRANSLATION]
apps/frappe/frappe/desk/doctype/global_search_settings/global_search_settings.js, [MISSING_TRANSLATION]
apps/frappe/frappe/config/integrations.py, [MISSING_TRANSLATION]
apps/frappe/frappe/public/js/frappe/form/workflow.js, [MISSING_TRANSLATION]
apps/frappe/frappe/database/mariadb/schema.py, [MISSING_TRANSLATION]
apps/frappe/frappe/core/page/permission_manager/permission_manager.js, [MISSING_TRANSLATION]
DocType: Language, [MISSING_TRANSLATION]
DocType: Error Log, [MISSING_TRANSLATION]
apps/frappe/frappe/public/js/frappe/ui/toolbar/energy_points_notifications.js, [MISSING_TRANSLATION]
apps/frappe/frappe/utils/password_strength.py, [MISSING_TRANSLATION]
DocType: Notification, [MISSING_TRANSLATION]
apps/frappe/frappe/templates/emails/administrator_logged_in.html, [MISSING_TRANSLATION]
DocType: Chat Room, [MISSING_TRANSLATION]
DocType: LDAP Settings, [MISSING_TRANSLATION]
DocType: Translation, [MISSING_TRANSLATION]
apps/frappe/frappe/desk/page/setup_wizard/install_fixtures.py, [MISSING_TRANSLATION]
DocType: OAuth Authorization Code, [MISSING_TRANSLATION]
apps/frappe/frappe/public/js/frappe/views/reports/report_view.js, [MISSING_TRANSLATION]
apps/frappe/frappe/public/js/frappe/ui/keyboard.js, [MISSING_TRANSLATION]
apps/frappe/frappe/integrations/doctype/stripe_settings/stripe_settings.py, [MISSING_TRANSLATION]
DocType: User Permission, [MISSING_TRANSLATION]
apps/frappe/frappe/email/doctype/newsletter/newsletter.js, [MISSING_TRANSLATION]
DocType: Workflow Action Master, [MISSING_TRANSLATION]
DocType: Web Form Field, [MISSING_TRANSLATION]
apps/frappe/frappe/core/doctype/file/file.py, [MISSING_TRANSLATION]
DocType: Global Search DocType, [MISSING_TRANSLATION]
, [MISSING_TRANSLATION]
<div><pre><code>New {{ doc.doctype }} #{{ doc.name }}</code></pre></div>", [MISSING_TRANSLATION]
apps/frappe/frappe/public/js/frappe/form/save.js, [MISSING_TRANSLATION]
DocType: Error Snapshot, [MISSING_TRANSLATION]
DocType: Newsletter, [MISSING_TRANSLATION]
apps/frappe/frappe/desk/form/save.py, [MISSING_TRANSLATION]
apps/frappe/frappe/integrations/oauth2.py, [MISSING_TRANSLATION]
DocType: Website Settings, [MISSING_TRANSLATION]
apps/frappe/frappe/core/page/background_jobs/background_jobs.html, [MISSING_TRANSLATION]
DocType: Webhook, [MISSING_TRANSLATION]
apps/frappe/frappe/public/js/frappe/utils/user.js, [MISSING_TRANSLATION]
DocType: Braintree Settings, [MISSING_TRANSLATION]
apps/frappe/frappe/public/js/frappe/list/list_filter.js, [MISSING_TRANSLATION]
apps/frappe/frappe/public/js/frappe/list/bulk_operations.js, [MISSING_TRANSLATION]
apps/frappe/frappe/templates/emails/delete_data_confirmation.html, [MISSING_TRANSLATION]
apps/frappe/frappe/public/js/frappe/ui/filters/filter.js, [MISSING_TRANSLATION]
apps/frappe/frappe/email/doctype/newsletter/newsletter.py, [MISSING_TRANSLATION]
apps/frappe/frappe/twofactor.py, [MISSING_TRANSLATION]
DocType: Unhandled Email, [MISSING_TRANSLATION]
DocType: Email Unsubscribe, [MISSING_TRANSLATION]
apps/frappe/frappe/www/third_party_apps.html, [MISSING_TRANSLATION]
apps/frappe/frappe/desk/page/setup_wizard/setup_wizard.js, [MISSING_TRANSLATION]
apps/frappe/frappe/integrations/doctype/webhook/webhook.py, [MISSING_TRANSLATION]
DocType: Email Domain, [MISSING_TRANSLATION]
DocType: LDAP Group Mapping, [MISSING_TRANSLATION]
DocType: SMS Settings, [MISSING_TRANSLATION]
apps/frappe/frappe/public/js/frappe/utils/common.js, [MISSING_TRANSLATION]
apps/frappe/frappe/templates/emails/auto_email_report.html, [MISSING_TRANSLATION]
apps/frappe/frappe/config/desk.py, [MISSING_TRANSLATION]
apps/frappe/frappe/public/js/frappe/data_import/data_exporter.js, [MISSING_TRANSLATION]
apps/frappe/frappe/templates/includes/comments/comments.html, [MISSING_TRANSLATION]
DocType: Custom Script, [MISSING_TRANSLATION]
DocType: Print Settings, [MISSING_TRANSLATION]
apps/frappe/frappe/printing/page/print_format_builder/print_format_builder_column_selector.html, [MISSING_TRANSLATION]
apps/frappe/frappe/integrations/doctype/ldap_settings/ldap_settings.py, [MISSING_TRANSLATION]
DocType: Portal Settings, [MISSING_TRANSLATION]
apps/frappe/frappe/automation/doctype/auto_repeat/auto_repeat.py, [MISSING_TRANSLATION]
apps/frappe/frappe/public/js/frappe/views/communication.js, [MISSING_TRANSLATION]
apps/frappe/frappe/model/db_query.py, [MISSING_TRANSLATION]
apps/frappe/frappe/permissions.py, [MISSING_TRANSLATION]
DocType: PayPal Settings, [MISSING_TRANSLATION]
apps/frappe/frappe/website/doctype/website_theme/website_theme.py, [MISSING_TRANSLATION]
DocType: Workflow Transition, [MISSING_TRANSLATION]
DocType: Webhook Header, [MISSING_TRANSLATION]
DocType: Access Log, [MISSING_TRANSLATION]
DocType: Workflow Action, [MISSING_TRANSLATION]
apps/frappe/frappe/core/page/permission_manager/permission_manager.py, [MISSING_TRANSLATION]
apps/frappe/frappe/public/js/frappe/request.js, [MISSING_TRANSLATION]
DocType: Chat Profile, [MISSING_TRANSLATION]
apps/frappe/frappe/core/doctype/communication/communication_list.js, [MISSING_TRANSLATION]
apps/frappe/frappe/desk/doctype/bulk_update/bulk_update.py, [MISSING_TRANSLATION]
apps/frappe/frappe/core/doctype/report/report.js, [MISSING_TRANSLATION]
DocType: Data Migration Mapping, [MISSING_TRANSLATION]
DocType: Bulk Update, [MISSING_TRANSLATION]
apps/frappe/frappe/utils/oauth.py, [MISSING_TRANSLATION]
DocType: DocShare, [MISSING_TRANSLATION]
DocType: Energy Point Settings, [MISSING_TRANSLATION]
DocType: Data Migration Plan, [MISSING_TRANSLATION]
apps/frappe/frappe/public/js/frappe/ui/capture.js, [MISSING_TRANSLATION]
apps/frappe/frappe/data_migration/doctype/data_migration_connector/data_migration_connector.py, [MISSING_TRANSLATION]
apps/frappe/frappe/templates/emails/energy_points_summary.html, [MISSING_TRANSLATION]
DocType: Comment, [MISSING_TRANSLATION]
apps/frappe/frappe/public/js/frappe/form/layout.js, [MISSING_TRANSLATION]
apps/frappe/frappe/printing/page/print_format_builder/print_format_builder.js, [MISSING_TRANSLATION]
apps/frappe/frappe/public/js/frappe/views/kanban/kanban_column.html, [MISSING_TRANSLATION]
apps/frappe/frappe/public/js/frappe/socketio_client.js, [MISSING_TRANSLATION]
DocType: Customize Form Field, [MISSING_TRANSLATION]
DocType: Dropbox Settings, [MISSING_TRANSLATION]
apps/frappe/frappe/desk/form/utils.py, [MISSING_TRANSLATION]
apps/frappe/frappe/contacts/doctype/contact/contact.py, [MISSING_TRANSLATION]
DocType: Web Page, [MISSING_TRANSLATION]
DocType: Slack Webhook URL, [MISSING_TRANSLATION]
apps/frappe/frappe/templates/includes/login/login.js, [MISSING_TRANSLATION]
apps/frappe/frappe/core/doctype/user_permission/user_permission_list.js, [MISSING_TRANSLATION]
DocType: Session Default Settings, [MISSING_TRANSLATION]
apps/frappe/frappe/config/core.py, [MISSING_TRANSLATION]
DocType: Auto Email Report, [MISSING_TRANSLATION]
apps/frappe/frappe/templates/emails/password_reset.html, [MISSING_TRANSLATION]
apps/frappe/frappe/public/js/frappe/views/calendar/calendar.js, [MISSING_TRANSLATION]
apps/frappe/frappe/public/js/frappe/ui/toolbar/navbar.html, [MISSING_TRANSLATION]
DocType: Help Article, [MISSING_TRANSLATION]
apps/frappe/frappe/www/printview.py, [MISSING_TRANSLATION]
apps/frappe/frappe/core/doctype/role_permission_for_page_and_report/role_permission_for_page_and_report.js, [MISSING_TRANSLATION]
apps/frappe/frappe/public/js/frappe/data_import/import_preview.js, [MISSING_TRANSLATION]
apps/frappe/frappe/database/schema.py, [MISSING_TRANSLATION]
apps/frappe/frappe/model/workflow.py, [MISSING_TRANSLATION]
apps/frappe/frappe/core/doctype/activity_log/feed.py, [MISSING_TRANSLATION]
DocType: Transaction Log, [MISSING_TRANSLATION]
apps/frappe/frappe/www/list.py, [MISSING_TRANSLATION]
DocType: Salutation, [MISSING_TRANSLATION]
DocType: Blog Settings, [MISSING_TRANSLATION]
apps/frappe/frappe/core/doctype/role/role.py, [MISSING_TRANSLATION]
apps/frappe/frappe/public/js/frappe/chat.js, [MISSING_TRANSLATION]
DocType: Web Form, [MISSING_TRANSLATION]
DocType: Kanban Board Column, [MISSING_TRANSLATION]
apps/frappe/frappe/core/doctype/deleted_document/deleted_document.js, [MISSING_TRANSLATION]
apps/frappe/frappe/__init__.py, [MISSING_TRANSLATION]
DocType: Notification Recipient, [MISSING_TRANSLATION]
apps/frappe/frappe/public/js/frappe/list/base_list.js, [MISSING_TRANSLATION]
DocType: Block Module, [MISSING_TRANSLATION]
apps/frappe/frappe/public/js/frappe/views/kanban/kanban_board.html, [MISSING_TRANSLATION]
apps/frappe/frappe/www/contact.html, [MISSING_TRANSLATION]
DocType: Desktop Icon, [MISSING_TRANSLATION]
DocType: Customize Form, [MISSING_TRANSLATION]
apps/frappe/frappe/core/doctype/communication/communication.py, [MISSING_TRANSLATION]
apps/frappe/frappe/website/doctype/personal_data_download_request/personal_data_download_request.py, [MISSING_TRANSLATION]
DocType: List View Setting, [MISSING_TRANSLATION]
apps/frappe/frappe/printing/page/print_format_builder/print_format_builder_start.html, [MISSING_TRANSLATION]
apps/frappe/frappe/integrations/doctype/s3_backup_settings/s3_backup_settings.py, [MISSING_TRANSLATION]
apps/frappe/frappe/templates/emails/new_user.html, [MISSING_TRANSLATION]
apps/frappe/frappe/core/doctype/success_action/success_action.js, [MISSING_TRANSLATION]
apps/frappe/frappe/public/js/frappe/barcode_scanner/quagga.js, [MISSING_TRANSLATION]
DocType: Email Flag Queue, [MISSING_TRANSLATION]
apps/frappe/frappe/utils/bot.py, [MISSING_TRANSLATION]
apps/frappe/frappe/public/js/frappe/web_form/web_form.js, [MISSING_TRANSLATION]
apps/frappe/frappe/public/js/frappe/ui/filters/filter_list.js, [MISSING_TRANSLATION]
apps/frappe/frappe/public/js/frappe/views/interaction.js, [MISSING_TRANSLATION]
DocType: Chat Message Attachment, [MISSING_TRANSLATION]
DocType: Property Setter, [MISSING_TRANSLATION]
apps/frappe/frappe/public/js/frappe/utils/utils.js, [MISSING_TRANSLATION]
apps/frappe/frappe/public/js/frappe/ui/toolbar/awesome_bar.js, [MISSING_TRANSLATION]
apps/frappe/frappe/templates/pages/integrations/payment-success.html, [MISSING_TRANSLATION]
DocType: Custom Field, [MISSING_TRANSLATION]
apps/frappe/frappe/core/doctype/version/version.js, [MISSING_TRANSLATION]
apps/frappe/frappe/templates/includes/comments/comments.py, [MISSING_TRANSLATION]
apps/frappe/frappe/core/page/dashboard/dashboard.js, [MISSING_TRANSLATION]
apps/frappe/frappe/email/smtp.py, [MISSING_TRANSLATION]
apps/frappe/frappe/www/complete_signup.html, [MISSING_TRANSLATION]
apps/frappe/frappe/custom/doctype/custom_field/custom_field.js, [MISSING_TRANSLATION]
DocType: Role Profile, [MISSING_TRANSLATION]
DocType: Top Bar Item, [MISSING_TRANSLATION]
apps/frappe/frappe/templates/emails/auto_reply.html, [MISSING_TRANSLATION]
apps/frappe/frappe/integrations/doctype/google_contacts/google_contacts.js, [MISSING_TRANSLATION]
apps/frappe/frappe/core/doctype/data_import/importer_new.py, [MISSING_TRANSLATION]
apps/frappe/frappe/desk/page/user_profile/user_profile.js, [MISSING_TRANSLATION]
apps/frappe/frappe/public/js/frappe/ui/toolbar/search_utils.js, [MISSING_TRANSLATION]
apps/frappe/frappe/public/js/frappe/views/components/ModuleLinkItem.vue, [MISSING_TRANSLATION]
DocType: Google Maps Settings, [MISSING_TRANSLATION]
apps/frappe/frappe/utils/response.py, [MISSING_TRANSLATION]
DocType: Blogger, [MISSING_TRANSLATION]
apps/frappe/frappe/public/js/frappe/form/controls/comment.js, [MISSING_TRANSLATION]
apps/frappe/frappe/printing/page/print_format_builder/print_format_builder_layout.html, [MISSING_TRANSLATION]
DocType: File, [MISSING_TRANSLATION]
DocType: Version, [MISSING_TRANSLATION]
apps/frappe/frappe/email/doctype/email_group/email_group.js, [MISSING_TRANSLATION]
DocType: Google Calendar, [MISSING_TRANSLATION]
DocType: Domain Settings, [MISSING_TRANSLATION]
apps/frappe/frappe/email/receive.py, [MISSING_TRANSLATION]
apps/frappe/frappe/automation/doctype/assignment_rule/assignment_rule.py, [MISSING_TRANSLATION]
apps/frappe/frappe/templates/includes/search_box.html, [MISSING_TRANSLATION]
apps/frappe/frappe/desk/page/leaderboard/leaderboard.js, [MISSING_TRANSLATION]
apps/frappe/frappe/utils/nestedset.py, [MISSING_TRANSLATION]
apps/frappe/frappe/templates/includes/search_template.html, [MISSING_TRANSLATION]
apps/frappe/frappe/public/js/frappe/form/footer/timeline.js, [MISSING_TRANSLATION]
apps/frappe/frappe/public/js/frappe/ui/toolbar/user_progress_dialog.js, [MISSING_TRANSLATION]
DocType: Chat Message, [MISSING_TRANSLATION]
DocType: Google Settings, [MISSING_TRANSLATION]
apps/frappe/frappe/templates/pages/integrations/gcalendar-success.html, [MISSING_TRANSLATION]
apps/frappe/frappe/core/doctype/docshare/docshare.py, [MISSING_TRANSLATION]
apps/frappe/frappe/utils/print_format.py, [MISSING_TRANSLATION]
apps/frappe/frappe/email/doctype/notification/notification.js, [MISSING_TRANSLATION]
apps/frappe/frappe/printing/doctype/letter_head/letter_head.py, [MISSING_TRANSLATION]
apps/frappe/frappe/config/users_and_permissions.py, [MISSING_TRANSLATION]
DocType: Workflow Document State, [MISSING_TRANSLATION]
apps/frappe/frappe/public/js/frappe/ui/group_by/group_by.html, [MISSING_TRANSLATION]
apps/frappe/frappe/core/doctype/sms_settings/sms_settings.py, [MISSING_TRANSLATION]
apps/frappe/frappe/utils/data.py, [MISSING_TRANSLATION]
apps/frappe/frappe/email/doctype/notification/notification.py, [MISSING_TRANSLATION]
apps/frappe/frappe/core/doctype/communication/communication.js, [MISSING_TRANSLATION]
apps/frappe/frappe/public/js/frappe/views/translation_manager.js, [MISSING_TRANSLATION]
apps/frappe/frappe/workflow/doctype/workflow_action/workflow_action.py, [MISSING_TRANSLATION]
DocType: GSuite Templates, [MISSING_TRANSLATION]
apps/frappe/frappe/public/js/frappe/ui/slides.js, [MISSING_TRANSLATION]
apps/frappe/frappe/data_migration/doctype/data_migration_connector/data_migration_connector.js, [MISSING_TRANSLATION]
DocType: S3 Backup Settings, [MISSING_TRANSLATION]
DocType: Dashboard, [MISSING_TRANSLATION]
apps/frappe/frappe/public/js/frappe/file_uploader/FilePreview.vue, [MISSING_TRANSLATION]
DocType: Country, [MISSING_TRANSLATION]
DocType: About Us Team Member, [MISSING_TRANSLATION]
DocType: Assignment Rule Day, [MISSING_TRANSLATION]
DocType: Chat Token, [MISSING_TRANSLATION]
apps/frappe/frappe/installer.py, [MISSING_TRANSLATION]
DocType: Energy Point Rule, [MISSING_TRANSLATION]
apps/frappe/frappe/printing/doctype/print_settings/print_settings.js, [MISSING_TRANSLATION]
apps/frappe/frappe/public/js/frappe/form/controls/link.js, [MISSING_TRANSLATION]
apps/frappe/frappe/core/report/permitted_documents_for_user/permitted_documents_for_user.js, [MISSING_TRANSLATION]
apps/frappe/frappe/public/js/frappe/form/multi_select_dialog.js, [MISSING_TRANSLATION]
apps/frappe/frappe/public/js/frappe/views/reports/print_tree.html, [MISSING_TRANSLATION]
apps/frappe/frappe/utils/password.py, [MISSING_TRANSLATION]
DocType: Data Migration Mapping Detail, [MISSING_TRANSLATION]
apps/frappe/frappe/social/doctype/energy_point_log/energy_point_log_list.js, [MISSING_TRANSLATION]
apps/frappe/frappe/public/js/frappe/desk.js, [MISSING_TRANSLATION]
apps/frappe/frappe/model/rename_doc.py, [MISSING_TRANSLATION]
apps/frappe/frappe/public/js/frappe/ui/dropzone.js, [MISSING_TRANSLATION]
apps/frappe/frappe/printing/doctype/print_format/print_format.js, [MISSING_TRANSLATION]
apps/frappe/frappe/utils/pdf.py, [MISSING_TRANSLATION]
apps/frappe/frappe/website/doctype/blog_post/blog_post.py, [MISSING_TRANSLATION]
DocType: Website Slideshow, [MISSING_TRANSLATION]
apps/frappe/frappe/auth.py, [MISSING_TRANSLATION]
apps/frappe/frappe/desk/reportview.py, [MISSING_TRANSLATION]
apps/frappe/frappe/www/qrcode.html, [MISSING_TRANSLATION]
apps/frappe/frappe/public/js/frappe/list/list_sidebar_group_by.js, [MISSING_TRANSLATION]
apps/frappe/frappe/database/database.py, [MISSING_TRANSLATION]
DocType: List Filter, [MISSING_TRANSLATION]
DocType: Google Drive, [MISSING_TRANSLATION]
DocType: OAuth Client, [MISSING_TRANSLATION]
apps/frappe/frappe/email/doctype/email_account/email_account.js, [MISSING_TRANSLATION]
apps/frappe/frappe/core/doctype/error_log/error_log_list.js, [MISSING_TRANSLATION]
apps/frappe/frappe/email/doctype/email_unsubscribe/email_unsubscribe.py, [MISSING_TRANSLATION]
apps/frappe/frappe/utils/jinja.py, [MISSING_TRANSLATION]
apps/frappe/frappe/core/doctype/data_import/importer.py, [MISSING_TRANSLATION]
apps/frappe/frappe/integrations/doctype/s3_backup_settings/s3_backup_settings.js, [MISSING_TRANSLATION]
apps/frappe/frappe/config/desktop.py, [MISSING_TRANSLATION]
apps/frappe/frappe/website/doctype/website_settings/website_settings.py, [MISSING_TRANSLATION]
apps/frappe/frappe/core/doctype/system_settings/system_settings.py, [MISSING_TRANSLATION]
apps/frappe/frappe/integrations/doctype/dropbox_settings/dropbox_settings.js, [MISSING_TRANSLATION]
apps/frappe/frappe/www/confirm_workflow_action.html, [MISSING_TRANSLATION]
apps/frappe/frappe/public/js/frappe/social/social_home.js, [MISSING_TRANSLATION]
apps/frappe/frappe/desk/doctype/event/event.js, [MISSING_TRANSLATION]
apps/frappe/frappe/email/doctype/auto_email_report/auto_email_report.py, [MISSING_TRANSLATION]
apps/frappe/frappe/public/js/frappe/ui/page.html, [MISSING_TRANSLATION]
DocType: DefaultValue, [MISSING_TRANSLATION]
DocType: Email Queue Recipient, [MISSING_TRANSLATION]
apps/frappe/frappe/contacts/doctype/address/address.py, [MISSING_TRANSLATION]
DocType: Footer Item, [MISSING_TRANSLATION]
DocType: Integration Request, [MISSING_TRANSLATION]
apps/frappe/frappe/desk/doctype/kanban_board/kanban_board.py, [MISSING_TRANSLATION]
DocType: ToDo, [MISSING_TRANSLATION]
apps/frappe/frappe/public/js/frappe/form/templates/timeline.html, [MISSING_TRANSLATION]
apps/frappe/frappe/desk/query_report.py, [MISSING_TRANSLATION]
DocType: Assignment Rule User, [MISSING_TRANSLATION]
DocType: Print Style, [MISSING_TRANSLATION]
apps/frappe/frappe/core/doctype/page/page.py, [MISSING_TRANSLATION]
apps/frappe/frappe/desk/page/backups/backups.py, [MISSING_TRANSLATION]
apps/frappe/frappe/public/js/frappe/views/inbox/inbox_view.js, [MISSING_TRANSLATION]
Setting the length as {3} will cause truncation of data.", [MISSING_TRANSLATION]
apps/frappe/frappe/public/js/frappe/views/reports/query_report.js, [MISSING_TRANSLATION]
apps/frappe/frappe/desk/like.py, [MISSING_TRANSLATION]
apps/frappe/frappe/email/doctype/auto_email_report/auto_email_report.js, [MISSING_TRANSLATION]
apps/frappe/frappe/custom/doctype/customize_form/customize_form.py, [MISSING_TRANSLATION]
DocType: Letter Head, [MISSING_TRANSLATION]
apps/frappe/frappe/utils/__init__.py, [MISSING_TRANSLATION]
apps/frappe/frappe/core/doctype/has_role/has_role.py, [MISSING_TRANSLATION]
apps/frappe/frappe/website/doctype/website_slideshow/website_slideshow.js, [MISSING_TRANSLATION]
apps/frappe/frappe/public/js/frappe/form/sidebar/share.js, [MISSING_TRANSLATION]
apps/frappe/frappe/email/queue.py, [MISSING_TRANSLATION]
DocType: View Log, [MISSING_TRANSLATION]
apps/frappe/frappe/custom/doctype/property_setter/property_setter.py, [MISSING_TRANSLATION]
DocType: Website Route Meta, [MISSING_TRANSLATION]
apps/frappe/frappe/public/js/frappe/form/formatters.js, [MISSING_TRANSLATION]
apps/frappe/frappe/share.py, [MISSING_TRANSLATION]
DocType: Data Migration Connector, [MISSING_TRANSLATION]
apps/frappe/frappe/public/js/frappe/utils/energy_point_utils.js, [MISSING_TRANSLATION]
apps/frappe/frappe/custom/doctype/custom_field/custom_field.py, [MISSING_TRANSLATION]
DocType: Website Theme, [MISSING_TRANSLATION]
DocType: Review Level, [MISSING_TRANSLATION]
apps/frappe/frappe/desk/doctype/bulk_update/bulk_update.js, [MISSING_TRANSLATION]
apps/frappe/frappe/public/js/frappe/microtemplate.js, [MISSING_TRANSLATION]
DocType: Email Group Member, [MISSING_TRANSLATION]
DocType: Contact Phone, [MISSING_TRANSLATION]
apps/frappe/frappe/templates/emails/new_message.html, [MISSING_TRANSLATION]
apps/frappe/frappe/printing/page/print_format_builder/print_format_builder_field.html, [MISSING_TRANSLATION]
apps/frappe/frappe/core/doctype/language/language.py, [MISSING_TRANSLATION]
hyphen or underscore.", [MISSING_TRANSLATION]
apps/frappe/frappe/printing/doctype/print_format/print_format.py, [MISSING_TRANSLATION]
apps/frappe/frappe/public/js/frappe/views/kanban/kanban_board.js, [MISSING_TRANSLATION]
apps/frappe/frappe/public/js/frappe/ui/toolbar/search.js, [MISSING_TRANSLATION]
apps/frappe/frappe/public/js/frappe/file_uploader/FileBrowser.vue, [MISSING_TRANSLATION]
DocType: Note Seen By, [MISSING_TRANSLATION]
DocType: Email Template, [MISSING_TRANSLATION]
apps/frappe/frappe/public/js/frappe/form/sidebar/form_viewers.js, [MISSING_TRANSLATION]
apps/frappe/frappe/templates/pages/integrations/stripe_checkout.html, [MISSING_TRANSLATION]
apps/frappe/frappe/public/js/frappe/form/templates/print_layout.html, [MISSING_TRANSLATION]
apps/frappe/frappe/public/js/frappe/utils/rating_icons.html, [MISSING_TRANSLATION]
apps/frappe/frappe/chat/doctype/chat_profile/chat_profile.py, [MISSING_TRANSLATION]
